project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (mins),log size
tu-yucheng/java-development-practice,F,7.4,N/A,,,,,0,8
GusarovArtem/Jupiter,error with test,7.2,run time error,,,,,0,8
aaronfreeman/aws-tomcat-deploy,error with test,2.3,no test,,,,,0,4
chriscantu/ServiceNow-Geb-Tests,F,,N/A,,,,,0,4
petercrona/gae-spring-mvc-minimal,F,,N/A,,,,,0,4
etraveli/bom-verifier,F,3.1,N/A,,,,,0,12
nadavc/gwt-spring-bootstrap,F,1.2,N/A,,,,,0,4
timyates/GroovyCGradle,F,1.9,N/A,,,,,0,4
nmfzone/first-spring-mvc,F,2.9,N/A,,,,,0,4
novarto-oss/java-build-conventions,F,3.5,N/A,,,,,0,4
tecklund/FlywayRename,F,,N/A,,,,,0,4
JPro-one/JProSimpleChat,F,4.4.1,N/A,,,,,0,4
stempler/gradle-eclipseconfig,F,3.0,N/A,,,,,0,12
TELL-SRL/gradle-sass,error with test,2.9,run time error,,,,,0,8
edibleday/teavm-gradle-plugin-sample,error with test,2.8,no test,,,,,0,4
jdigger/gradle_git_plugin,F,,N/A,,,,,0,8
ccrusius/gradle-erlang-plugin,error with test,3.0,run time error,,,,,0,12
wangshibiaoFlytiger/springmvc,F,2.5,N/A,,,,,0,12
daggerok/kotlin-examples,F,4.7,N/A,,,,,0,8
AxstSoftware/AxstTweaker,F,,N/A,,,,,0,4
joseyustiz/microservice-dojo-katas,F,4.8.1,N/A,,,,,0,4
hmcts/rpe-pdf-service,F,8.1.1,N/A,,,,,0,12
KajBot/Kajbot4Discord,F,,N/A,,,,,0,4
AuraDevelopmentTeam/JustEnoughReactors,F,5.6.4,N/A,,,,,0,8
